Date,Open,High,Low,Close,Adj Close,Volume,Currency Name
2019-11-27,1.004144,1.030667,0.981392,1.005027,1.005027,27416693309.0,Tether
2019-11-28,1.004441,1.02044,1.000636,1.00408,1.00408,21502793846.0,Tether
2019-11-29,1.003892,1.011348,0.992586,1.004521,1.004521,22304763156.0,Tether
2019-11-30,1.00422,1.015051,0.998375,1.001703,1.001703,19145198648.0,Tether
2019-12-01,1.001817,1.023198,0.99508,1.002481,1.002481,21027847332.0,Tether
2019-12-02,1.0027469999999998,1.018812,0.991988,1.001681,1.001681,19093390526.0,Tether
2019-12-03,1.001396,1.014242,0.991071,1.003135,1.003135,16691088420.0,Tether
2019-12-04,1.003166,1.016163,0.981153,1.007939,1.007939,24761899935.0,Tether
2019-12-05,1.007392,1.021286,0.997193,1.010072,1.010072,21171449599.0,Tether
2019-12-06,1.009621,1.0150709999999998,0.997518,1.003428,1.003428,19022188750.0,Tether
2019-12-07,1.003519,1.009677,1.001816,1.007412,1.007412,16402700924.0,Tether
2019-12-08,1.007395,1.013036,1.002145,1.006376,1.006376,16556799286.0,Tether
2019-12-09,1.006516,1.012264,0.997568,1.004253,1.004253,19283208376.0,Tether
2019-12-10,1.004302,1.00931,0.999571,1.005855,1.005855,19145357481.0,Tether
2019-12-11,1.0063879999999998,1.044161,0.979262,1.011923,1.011923,19625934979.0,Tether
2019-12-12,1.010393,1.014405,0.999792,1.005837,1.005837,21128996533.0,Tether
2019-12-13,1.005729,1.007308,0.996657,1.001751,1.001751,19588662449.0,Tether
2019-12-14,1.001659,1.011503,0.997095,1.006088,1.006088,19018920700.0,Tether
2019-12-15,1.0057120000000002,1.020721,0.983907,1.004616,1.004616,19575469230.0,Tether
2019-12-16,1.004494,1.015155,0.993509,1.003986,1.003986,23894286942.0,Tether
2019-12-17,1.004133,1.022001,0.992619,0.993339,0.993339,28074801122.0,Tether
2019-12-18,0.998285,1.025073,0.991518,1.006128,1.006128,36156312247.0,Tether
