,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1408,2018-07-26,7176.052348803308,973.217501151075,11470.07536711654,7176.052348803308,7176.052348803308,-906.4659823228397,-906.4659823228397,-906.4659823228397,11.59173701385048,11.59173701385048,11.59173701385048,-918.0577193366902,-918.0577193366902,-918.0577193366902,0.0,0.0,0.0,6269.586366480468
1409,2018-07-27,7164.591110139151,1523.3671887661008,11204.857071878834,7164.591110139151,7164.591110139151,-898.8916069499415,-898.8916069499415,-898.8916069499415,-3.8809597055856337,-3.8809597055856337,-3.8809597055856337,-895.010647244356,-895.010647244356,-895.010647244356,0.0,0.0,0.0,6265.699503189209
1410,2018-07-28,7153.129871475003,1290.7880266215716,11600.96232847123,7153.129871475003,7153.129871475003,-881.4970332731774,-881.4970332731774,-881.4970332731774,-12.555161555612822,-12.555161555612822,-12.555161555612822,-868.9418717175646,-868.9418717175646,-868.9418717175646,0.0,0.0,0.0,6271.6328382018255
1411,2018-07-29,7141.668632810846,1189.7715998071508,11368.949370917284,7141.668632810846,7141.668632810846,-878.0906959701299,-878.0906959701299,-878.0906959701299,-37.780783190891604,-37.780783190891604,-37.780783190891604,-840.3099127792382,-840.3099127792382,-840.3099127792382,0.0,0.0,0.0,6263.577936840717
1412,2018-07-30,7130.207394146698,1219.9455796571656,11245.750554546743,7130.207394146698,7130.207394146698,-794.6660018464719,-794.6660018464719,-794.6660018464719,14.979410154111566,14.979410154111566,14.979410154111566,-809.6454120005834,-809.6454120005834,-809.6454120005834,0.0,0.0,0.0,6335.541392300226
1413,2018-07-31,7118.746155482541,1019.3310193896053,11635.755365997504,7118.746155482541,7118.746155482541,-773.7491554188139,-773.7491554188139,-773.7491554188139,3.7892728950992747,3.7892728950992747,3.7892728950992747,-777.5384283139132,-777.5384283139132,-777.5384283139132,0.0,0.0,0.0,6344.997000063728
1414,2018-08-01,7107.284916818393,1584.733537144855,11880.303890348638,7107.284916818393,7107.284916818393,-720.767608015002,-720.767608015002,-720.767608015002,23.856484388952975,23.856484388952975,23.856484388952975,-744.6240924039549,-744.6240924039549,-744.6240924039549,0.0,0.0,0.0,6386.517308803391
1415,2018-08-02,7095.823678154236,1373.23966998554,11266.543333911057,7095.823678154236,7095.823678154236,-699.9752723417412,-699.9752723417412,-699.9752723417412,11.591737013871091,11.591737013871091,11.591737013871091,-711.5670093556123,-711.5670093556123,-711.5670093556123,0.0,0.0,0.0,6395.848405812495
1416,2018-08-03,7084.362439490087,1224.1939502667535,11558.761948715577,7084.362439490087,7084.362439490087,-682.9257944052654,-682.9257944052654,-682.9257944052654,-3.8809597055236438,-3.8809597055236438,-3.8809597055236438,-679.0448346997417,-679.0448346997417,-679.0448346997417,0.0,0.0,0.0,6401.436645084822
1417,2018-08-04,7072.9012008259315,1230.6488831831452,11531.665369133034,7072.9012008259315,7072.9012008259315,-660.286633935761,-660.286633935761,-660.286633935761,-12.555161555531727,-12.555161555531727,-12.555161555531727,-647.7314723802293,-647.7314723802293,-647.7314723802293,0.0,0.0,0.0,6412.614566890171
1418,2018-08-05,7061.439962161782,1391.446729721633,11275.897683291672,7061.439962161782,7061.439962161782,-656.0611370518103,-656.0611370518103,-656.0611370518103,-37.78078319085112,-37.78078319085112,-37.78078319085112,-618.2803538609593,-618.2803538609593,-618.2803538609593,0.0,0.0,0.0,6405.378825109972
1419,2018-08-06,7049.978723497627,1684.2883695131216,11604.68352460664,7049.978723497627,7049.978723497627,-576.3288450883119,-576.3288450883119,-576.3288450883119,14.979410154066604,14.979410154066604,14.979410154066604,-591.3082552423784,-591.3082552423784,-591.3082552423784,0.0,0.0,0.0,6473.649878409315
1420,2018-08-07,7038.517484833475,1330.8663224327095,11235.024550287768,7038.517484833475,7038.517484833475,-563.5908210564871,-563.5908210564871,-563.5908210564871,3.789272895094921,3.789272895094921,3.789272895094921,-567.3800939515821,-567.3800939515821,-567.3800939515821,0.0,0.0,0.0,6474.926663776987
1421,2018-08-08,7027.056246169322,1749.6091487003687,11832.275471142746,7027.056246169322,7027.056246169322,-523.1386343535338,-523.1386343535338,-523.1386343535338,23.856484388931023,23.856484388931023,23.856484388931023,-546.9951187424648,-546.9951187424648,-546.9951187424648,0.0,0.0,0.0,6503.9176118157875
1422,2018-08-09,7015.59500750517,1527.5501627437027,11386.351241123897,7015.59500750517,7015.59500750517,-518.9831301748494,-518.9831301748494,-518.9831301748494,11.591737013891697,11.591737013891697,11.591737013891697,-530.5748671887412,-530.5748671887412,-530.5748671887412,0.0,0.0,0.0,6496.611877330321
1423,2018-08-10,7004.133768841017,1436.8279795224764,11580.73283259655,7004.133768841017,7004.133768841017,-522.3341744141903,-522.3341744141903,-522.3341744141903,-3.8809597056638174,-3.8809597056638174,-3.8809597056638174,-518.4532147085266,-518.4532147085266,-518.4532147085266,0.0,0.0,0.0,6481.799594426826
1424,2018-08-11,6992.672530176865,1665.1828973178235,11640.54698375658,6992.672530176865,6992.672530176865,-523.4239414314358,-523.4239414314358,-523.4239414314358,-12.555161555567976,-12.555161555567976,-12.555161555567976,-510.86877987586786,-510.86877987586786,-510.86877987586786,0.0,0.0,0.0,6469.248588745429
1425,2018-08-12,6981.211291512712,1477.14287240624,11296.238271040907,6981.211291512712,6981.211291512712,-545.7406672437025,-545.7406672437025,-545.7406672437025,-37.780783190917404,-37.780783190917404,-37.780783190917404,-507.9598840527852,-507.9598840527852,-507.9598840527852,0.0,0.0,0.0,6435.470624269009
1426,2018-08-13,6969.750052848559,1395.4899753901723,11360.638242034547,6969.750052848559,6969.750052848559,-494.7827809689583,-494.7827809689583,-494.7827809689583,14.97941015409294,14.97941015409294,14.97941015409294,-509.76219112305125,-509.76219112305125,-509.76219112305125,0.0,0.0,0.0,6474.967271879601
1427,2018-08-14,6958.288814184407,1181.5489944447606,11195.320015319774,6958.288814184407,6958.288814184407,-512.4198045415001,-512.4198045415001,-512.4198045415001,3.7892728950564285,3.7892728950564285,3.7892728950564285,-516.2090774365565,-516.2090774365565,-516.2090774365565,0.0,0.0,0.0,6445.869009642907
1428,2018-08-15,6946.827575520254,1467.7896315159308,11515.775823143087,6946.827575520254,6946.827575520254,-503.2782207231411,-503.2782207231411,-503.2782207231411,23.856484388909067,23.856484388909067,23.856484388909067,-527.1347051120501,-527.1347051120501,-527.1347051120501,0.0,0.0,0.0,6443.549354797113
1429,2018-08-16,6935.366336856102,1588.9206961681207,11298.891538465617,6935.366336856102,6935.366336856102,-530.6879588411604,-530.6879588411604,-530.6879588411604,11.591737013806922,11.591737013806922,11.591737013806922,-542.2796958549673,-542.2796958549673,-542.2796958549673,0.0,0.0,0.0,6404.678378014942
1430,2018-08-17,6923.905098191949,957.1942074339505,11491.154875075545,6923.905098191949,6923.905098191949,-565.1801892711763,-565.1801892711763,-565.1801892711763,-3.880959705557544,-3.880959705557544,-3.880959705557544,-561.2992295656187,-561.2992295656187,-561.2992295656187,0.0,0.0,0.0,6358.724908920773
1431,2018-08-18,6912.443859527797,1571.7703997954857,11449.180060579007,6912.443859527797,6912.443859527797,-596.3284859267239,-596.3284859267239,-596.3284859267239,-12.55516155556364,-12.55516155556364,-12.55516155556364,-583.7733243711604,-583.7733243711604,-583.7733243711604,0.0,0.0,0.0,6316.115373601073
1432,2018-08-19,6900.982620863644,1184.312739822088,11467.610533181445,6900.982620863644,6900.982620863644,-646.9997774042432,-646.9997774042432,-646.9997774042432,-37.78078319087691,-37.78078319087691,-37.78078319087691,-609.2189942133662,-609.2189942133662,-609.2189942133662,0.0,0.0,0.0,6253.982843459401
1433,2018-08-20,6889.521382199492,991.7733361613143,11088.504114575078,6889.521382199492,6889.521382199492,-622.1245183649146,-622.1245183649146,-622.1245183649146,14.97941015410961,14.97941015410961,14.97941015410961,-637.1039285190243,-637.1039285190243,-637.1039285190243,0.0,0.0,0.0,6267.396863834578
1434,2018-08-21,6878.060143535339,1328.340499965871,11249.163465985377,6878.060143535339,6878.060143535339,-663.072024342721,-663.072024342721,-663.072024342721,3.789272895127256,3.789272895127256,3.789272895127256,-666.8612972378481,-666.8612972378481,-666.8612972378481,0.0,0.0,0.0,6214.988119192618
1435,2018-08-22,6866.598904871187,1096.2702846036163,11022.263335385274,6866.598904871187,6866.598904871187,-674.0487704046859,-674.0487704046859,-674.0487704046859,23.85648438898071,23.85648438898071,23.85648438898071,-697.9052547936666,-697.9052547936666,-697.9052547936666,0.0,0.0,0.0,6192.550134466501
1436,2018-08-23,6855.137666207034,1310.8492737246675,10774.33799651786,6855.137666207034,6855.137666207034,-718.0549621326207,-718.0549621326207,-718.0549621326207,11.591737013942225,11.591737013942225,11.591737013942225,-729.646699146563,-729.646699146563,-729.646699146563,0.0,0.0,0.0,6137.082704074413
1437,2018-08-24,6843.676427542882,1106.5731184896872,10840.779811859033,6843.676427542882,6843.676427542882,-765.3897973171578,-765.3897973171578,-765.3897973171578,-3.880959705451271,-3.880959705451271,-3.880959705451271,-761.5088376117066,-761.5088376117066,-761.5088376117066,0.0,0.0,0.0,6078.286630225724
1438,2018-08-25,6832.215188878729,1123.4303664650229,11166.442511527715,6832.215188878729,6832.215188878729,-805.4972810581935,-805.4972810581935,-805.4972810581935,-12.555161555559295,-12.555161555559295,-12.555161555559295,-792.9421195026342,-792.9421195026342,-792.9421195026342,0.0,0.0,0.0,6026.717907820535
1439,2018-08-26,6820.753950214577,623.1245839992181,10797.975301355984,6820.753950214577,6820.753950214577,-861.2188999015218,-861.2188999015218,-861.2188999015218,-37.780783190873656,-37.780783190873656,-37.780783190873656,-823.4381167106482,-823.4381167106482,-823.4381167106482,0.0,0.0,0.0,5959.535050313056
1440,2018-08-27,6809.292711550421,1116.4068476777788,11188.151083110019,6809.292711550421,6809.292711550421,-837.5625562742143,-837.5625562742143,-837.5625562742143,14.97941015412627,14.97941015412627,14.97941015412627,-852.5419664283406,-852.5419664283406,-852.5419664283406,0.0,0.0,0.0,5971.7301552762065
1441,2018-08-28,6797.83147285407,976.1878620709043,10951.99210970752,6797.83147285407,6797.83147285407,-876.0737614359924,-876.0737614359924,-876.0737614359924,3.789272895078508,3.789272895078508,3.789272895078508,-879.8630343310709,-879.8630343310709,-879.8630343310709,0.0,0.0,0.0,5921.757711418078
1442,2018-08-29,6786.370234157723,842.4100503647192,10578.461044625852,6786.370234157723,6786.370234157723,-881.2270259813924,-881.2270259813924,-881.2270259813924,23.856484388869937,23.856484388869937,23.856484388869937,-905.0835103702624,-905.0835103702624,-905.0835103702624,0.0,0.0,0.0,5905.1432081763305
1443,2018-08-30,6774.908995461368,950.6006079809255,11266.619400414347,6774.908995461368,6774.908995461368,-916.3729742864072,-916.3729742864072,-916.3729742864072,11.59173701385745,11.59173701385745,11.59173701385745,-927.9647113002646,-927.9647113002646,-927.9647113002646,0.0,0.0,0.0,5858.536021174961
1444,2018-08-31,6763.447756765021,770.5079025502043,10960.293909876755,6763.447756765021,6763.447756765021,-952.2318920508657,-952.2318920508657,-952.2318920508657,-3.880959705490364,-3.880959705490364,-3.880959705490364,-948.3509323453753,-948.3509323453753,-948.3509323453753,0.0,0.0,0.0,5811.215864714155
1445,2018-09-01,6751.98651806867,654.0543807095734,10675.634432030633,6751.98651806867,6751.98651806867,-978.7259245549262,-978.7259245549262,-978.7259245549262,-12.555161555554955,-12.555161555554955,-12.555161555554955,-966.1707629993714,-966.1707629993714,-966.1707629993714,0.0,0.0,0.0,5773.2605935137435
1446,2018-09-02,6740.525279372319,569.6355688661772,10982.056606731756,6740.525279372319,6740.525279372319,-1019.216639909875,-1019.216639909875,-1019.216639909875,-37.780783190865485,-37.780783190865485,-37.780783190865485,-981.4358567190096,-981.4358567190096,-981.4358567190096,0.0,0.0,0.0,5721.308639462444
1447,2018-09-03,6729.0640406759685,404.368728259667,10702.01800509526,6729.0640406759685,6729.0640406759685,-979.257808885373,-979.257808885373,-979.257808885373,14.979410154039025,14.979410154039025,14.979410154039025,-994.2372190394121,-994.2372190394121,-994.2372190394121,0.0,0.0,0.0,5749.806231790595
1448,2018-09-04,6717.602801979621,492.99750433718594,11106.014083806274,6717.602801979621,6717.602801979621,-1000.9498783142193,-1000.9498783142193,-1000.9498783142193,3.789272895040018,3.789272895040018,3.789272895040018,-1004.7391512092594,-1004.7391512092594,-1004.7391512092594,0.0,0.0,0.0,5716.652923665402
1449,2018-09-05,6706.14156328327,678.2943748626781,10872.292279240766,6706.14156328327,6706.14156328327,-989.3145703257794,-989.3145703257794,-989.3145703257794,23.856484388936796,23.856484388936796,23.856484388936796,-1013.1710547147161,-1013.1710547147161,-1013.1710547147161,0.0,0.0,0.0,5716.826992957491
