Date,Open,High,Low,Close,Adj Close,Volume
11/13/2017,1.00448,1.02929,0.975103,1.00935,1.00935,767884032
11/14/2017,1.00524,1.01343,0.996898,1.00683,1.00683,429857984
11/15/2017,1.00458,1.01163,1.00025,1.00318,1.00318,449671008
11/16/2017,1.00582,1.01089,0.993232,1.00212,1.00212,650278976
11/17/2017,0.995758,1.01181,0.995758,1.00139,1.00139,639398016
11/18/2017,1.00065,1.00918,0.99634,1.00231,1.00231,588136000
11/19/2017,1.00237,1.00749,0.996693,1.00244,1.00244,485752992
11/20/2017,1.00138,1.00298,0.996538,1.00192,1.00192,449595008
11/21/2017,1.00347,1.0112,0.988572,0.996047,0.996047,622649024
11/22/2017,0.997427,1.0034,0.992789,1.00015,1.00015,499812000
11/23/2017,0.998658,1.00634,0.992239,0.994631,0.994631,735883008
11/24/2017,1.00414,1.00713,0.988004,1.00233,1.00233,848627968
11/25/2017,1.00232,1.00907,0.995076,1.00541,1.00541,651987968
11/26/2017,1.00422,1.01742,1.00056,1.00868,1.00868,636451968
11/27/2017,1.00675,1.02017,0.998126,1.00129,1.00129,784436992
11/28/2017,1.00287,1.00648,0.996048,1.00014,1.00014,794764032
11/29/2017,1.00013,1.04845,0.955618,0.990606,0.990606,1672120064
11/30/2017,1.00386,1.02867,0.989319,1.0081,1.0081,1043969984
12/1/2017,1.0072,1.01921,0.993043,1.00978,1.00978,749395968
12/2/2017,1.00895,1.01677,0.995611,0.999654,0.999654,679950016
12/3/2017,1.00102,1.02954,0.98532,1.00066,1.00066,946748992
12/4/2017,1.00245,1.01405,0.992132,1.00367,1.00367,668510016
12/5/2017,1.00351,1.00837,0.996458,1.00197,1.00197,814145984
12/6/2017,0.99976,1.02004,0.99584,1.00991,1.00991,1281490048
12/7/2017,1.00707,1.07695,1.00107,1.03166,1.03166,1671609984
12/8/2017,1.03633,1.05766,0.986563,1.0176,1.0176,1993030016
12/9/2017,1.02058,1.04726,0.99356,1.01713,1.01713,1598909952
12/10/2017,1.02206,1.04466,0.971536,1.01775,1.01775,1649500032
12/11/2017,1.01272,1.02963,0.99995,1.01856,1.01856,1542119936
12/12/2017,1.01882,1.08167,1.00087,1.07788,1.07788,2240839936
12/13/2017,1.08095,1.088,1.01946,1.02716,1.02716,2198139904
12/14/2017,1.02672,1.05142,1.00669,1.00819,1.00819,2336179968
12/15/2017,1.00982,1.01873,0.995525,1.0161,1.0161,2044499968
12/16/2017,1.01736,1.01937,1.00182,1.00742,1.00742,1592729984
12/17/2017,1.01174,1.0164,1.00286,1.00924,1.00924,1931020032
12/18/2017,1.01052,1.0183,0.99574,1.01302,1.01302,2517230080
12/19/2017,1.01313,1.03397,0.996768,1.01068,1.01068,3073860096
12/20/2017,1.00841,1.01919,0.989079,1.00018,1.00018,3751790080
12/21/2017,1.00231,1.04041,0.993811,1.00921,1.00921,3106720000
12/22/2017,1.00635,1.05909,0.963089,1.01795,1.01795,4687949824
12/23/2017,1.01239,1.052,1.00726,1.04526,1.04526,2353740032
12/24/2017,1.05071,1.06922,1.02183,1.02303,1.02303,2611589888
12/25/2017,1.02648,1.03172,1.00894,1.01113,1.01113,1708380032
12/26/2017,1.01049,1.01732,0.99858,1.00407,1.00407,1854780032
12/27/2017,1.00469,1.01484,0.996458,1.00366,1.00366,1939949952
12/28/2017,1.00331,1.03306,1.00055,1.00659,1.00659,2211409920
12/29/2017,1.01095,1.01519,1.00088,1.00564,1.00564,1929090048
12/30/2017,1.00772,1.03478,0.992842,1.02135,1.02135,2711059968
12/31/2017,1.02431,1.02431,1.00027,1.01226,1.01226,1927010048
1/1/2018,1.01255,1.01536,1.00153,1.00728,1.00728,1685299968
1/2/2018,1.00574,1.00988,0.99325,1.0049,1.0049,2635859968
1/3/2018,1.0066,1.02328,1.00264,1.01344,1.01344,2471689984
1/4/2018,1.0132,1.01618,0.993822,1.00253,1.00253,3200130048
1/5/2018,1.00175,1.00501,0.985915,0.998634,0.998634,3096620032
1/6/2018,1.00028,1.01209,0.996847,1.00899,1.00899,2620080128
1/7/2018,1.00727,1.01572,0.998208,1.00157,1.00157,2338180096
1/8/2018,1.00514,1.04236,0.997617,1.00932,1.00932,3815749888
1/9/2018,1.00858,1.0143,1.00066,1.00599,1.00599,2766180096
1/10/2018,1.00515,1.01382,0.996446,1.00128,1.00128,3189860096
1/11/2018,0.999976,1.02352,0.990198,1.00171,1.00171,3841110016
1/12/2018,1.00625,1.0191,0.997711,1.00608,1.00608,2668219904
1/13/2018,1.00413,1.01256,0.996576,1.00202,1.00202,2759879936
1/14/2018,1.00436,1.04031,1.00064,1.01612,1.01612,2960410112
1/15/2018,1.01539,1.024,1.00172,1.00662,1.00662,2557179904
1/16/2018,1.00677,1.04645,0.999001,1.03415,1.03415,5552929792
1/17/2018,1.03287,1.06989,0.997739,1.01453,1.01453,5588839936
1/18/2018,1.01726,1.0399,1.00127,1.02311,1.02311,4302300160
1/19/2018,1.02332,1.04222,1.00249,1.00454,1.00454,2876989952
1/20/2018,1.00699,1.0135,0.991443,1.00111,1.00111,2942779904
1/21/2018,1.00292,1.02661,0.997069,0.999861,0.999861,3302010112
1/22/2018,1.004,1.01931,0.99151,1.00504,1.00504,3274899968
1/23/2018,1.004,1.01953,0.984474,1.00505,1.00505,3126830080
1/24/2018,1.00084,1.0307,0.992246,0.997484,0.997484,2620630016
1/25/2018,1.00553,1.01274,0.987358,0.999595,0.999595,2571930112
1/26/2018,0.997571,1.02154,0.985767,1.00414,1.00414,2957009920
1/27/2018,1.00281,1.0098,0.992227,0.993325,0.993325,2051980032
1/28/2018,0.996548,1.0011,0.981275,0.98879,0.98879,2546639872
1/29/2018,0.98844,1.00158,0.981718,0.995319,0.995319,2031160064
1/30/2018,0.998672,1.01238,0.975436,0.986486,0.986486,3108630016
1/31/2018,0.992538,1.0026,0.971403,0.990274,0.990274,2663930112
2/1/2018,0.991558,1.01161,0.954771,0.986939,0.986939,3498899968
2/2/2018,0.986294,1.02023,0.925144,0.990747,0.990747,4785869824
2/3/2018,0.994071,1.01587,0.982879,1.00131,1.00131,2488529920
2/4/2018,1.00438,1.01013,0.975209,1.01013,1.01013,2504640000
2/5/2018,0.995794,1.01628,0.944777,0.996308,0.996308,4078980096
2/6/2018,0.9785,1.02017,0.958318,1.01009,1.01009,6247249920
2/7/2018,1.00215,1.01989,0.984647,1.0014,1.0014,3307539968
2/8/2018,0.99497,1.03403,0.987534,1.01891,1.01891,2466619904
2/9/2018,1.02109,1.04818,0.995049,1.00211,1.00211,1631139968
2/10/2018,1.00348,1.01495,0.993346,1.0037,1.0037,2628379904
2/11/2018,1.00492,1.01252,0.992728,0.999251,0.999251,2431739904
2/12/2018,1.00021,1.00796,0.990812,1.00009,1.00009,2457489920
2/13/2018,1.0008,1.00865,0.995931,1.0011,1.0011,2226759936
2/14/2018,0.997715,1.00681,0.993292,1.00077,1.00077,3066190080
2/15/2018,1.00504,1.01921,0.997203,1.00541,1.00541,3286909952
2/16/2018,1.00504,1.01002,0.996746,1.0021,1.0021,2605819904
2/17/2018,1.00474,1.01161,0.996919,1.0037,1.0037,2797600000
2/18/2018,1.00468,1.01619,0.998832,1.00519,1.00519,3124179968
2/19/2018,1.00133,1.00608,0.994041,1.00061,1.00061,2546439936
2/20/2018,1.00065,1.00961,0.994081,1.00061,1.00061,3126220032
2/21/2018,1.00536,1.01039,0.988699,1.00097,1.00097,3459830016
2/22/2018,1.00153,1.01075,0.993998,1.00409,1.00409,2904620032
2/23/2018,1.00845,1.00966,0.993702,1.00157,1.00157,2815280128
2/24/2018,1.00114,1.014,0.993887,1.00284,1.00284,2417710080
2/25/2018,1.00479,1.009,0.996229,1.00034,1.00034,1968850048
2/26/2018,0.997664,1.00952,0.989677,0.999561,0.999561,2362210048
2/27/2018,0.998677,1.00847,0.991642,1.00052,1.00052,2473019904
2/28/2018,1.00329,1.00705,0.992791,0.998903,0.998903,2414230016
3/1/2018,0.999847,1.00518,0.995679,1.00042,1.00042,2285570048
3/2/2018,0.998189,1.0056,0.994439,0.99973,0.99973,2172250112
3/3/2018,0.995248,1.00619,0.993477,1.00087,1.00087,2181489920
3/4/2018,1.00019,1.00495,0.995287,0.997612,0.997612,2133910016
3/5/2018,0.997521,1.00172,0.995019,0.998864,0.998864,2227680000
3/6/2018,1.00504,1.00596,0.99626,1.0005,1.0005,2491849984
3/7/2018,0.998354,1.02412,0.981378,1.00248,1.00248,3037380096
